MasterGloss	originalform	originalgloss	Plomley_Headword	Plomley_note	recorder	recordid	speakercode	tribalregion	region
	poohner	yes	poona	SF said he did not know the word for ‘no’, but this is likely to be pude.yer (’no’) (NE-E)	ws	11988	sf		
	porseac	I don’t know	porseac		ws	11989	im		
	purpler binia	very high up	purpler binia		ws	11990	sh		
	pusiono carni	make no row, hold your tongue	pusiono carni		ws	11991	mj		
	puziono carni	make no row, hold your tongue	pusiono carni		ws	11992	mj		
	raramung	I am so glad/pleased	raramung		ws	11993	hu		
	ropa	smoke	ropa		ws	11994	im		
	tringinabiddy	small brushwood to start fire	tringinabiddy		ws	11995	bt		
	trooganinne	seaweed	trooganinne	the woman Truganinni is said to have been named for the plant ‘Botany Bay greens’	ws	11996	at		
	tylarlia woolarlia	welcome	tylarlia woolarlia		ws	11997	bt		
	tyarlia wool-er lia	goodbye	tylarlia woolarlia		ws	11998	bt		
	wa-ar	look here	wa-ar		ws	11999	bt		
	war-wr(wa)	I say, say!	wa-ar		ws	12000	bt		
	waterleepa	"aquatic bulb (’potato’)"	waterleepa		ws	12001	mn		
	wetherloona	underground root of fern	wetherloona		ws	12002	tp		
	whingla	wood used for spears	whingla		ws	12003	by		
	whingla-plackla	cotton-bark	whingla		ws	12004	by		
	wogly	edible root common fern	wogly		ws	12005	bt		
	woglie	fern root	wogly		ws	12006	bt		
	yah-h-h-h!	so glad to see you	yah-h-h-h!		ws	12007	ml		
	yarraman	“ horse, ? horseman	yarraman		ws	12008	sk		
a nuisance	nyenberra	a nuisance			ws	11666	mj	oyb	Oyster Bay
(a) boil	la.ver.ten.er	pimple	la.ver.ten.er		gar	2271		wc	Western Coast
(a) boil	lem.mer.ne	boil	lem.mer.ne		gar	2272		b	Bruny Island
(a) boil	lome	formation of matter	lem.mer.ne		gar	2273		unk	unknown15
(a) boil	lieemena	boil (furunculus), abscess	lem.mer.ne		mj	2274		oyb	Oyster Bay
(a) boil	lieematah	boil (furunculus)	lem.mer.ne		mj	2275		b	Bruny Island
(a) boil	limeté	abscess	lem.mer.ne		mj	2276		b	Bruny Island
(a) boil	lieematah	boil (furunculus)	lem.mer.ne		mj	9503		s	Southern
(a) boil	limeté	abscess	lem.mer.ne		mj	9504		s	Southern
(a) boil	plam.ten.ner [? plarn.ten.ner]	boil, gathering	plam.ten.ner		gar	2277		cp	Cape Portland
(a) boil	plam.ten.er [? plarn.ten.er]	boil	plam.ten.ner		gar	2278		bl	Ben Lomond
(a) boil	pu.ru.ne	boil	pu.ru.ne		gar	2279		wc	Western Coast
(a) boil	wallamalé	abscess	wallamale		mj	10400		w	western tribes
(a) boil	wallamalé	abscess	wallamale		mj	10859		nw	
afternoon	crowdo	evening	crowdo		jd	8167		br	Big River
afternoon	kaawutto	afternoon	kaawutto		mj	8168		oyb	Oyster Bay
afternoon	kaoota	dusk	kaawutto		mj	8169		oyb	Oyster Bay
afternoon	kaoota	evening	kaawutto		mj	8170		oyb	Oyster Bay
afternoon	kawootah	evening	kaawutto		mj	8171		b	Bruny Island
afternoon	kawootah	evening	kaawutto		mj	10118		s	Southern
afternoon	kaoonyleah	afternoon	kaawutto		mj	10654		w	western tribes
afternoon	kaoonyleah	afternoon	kaawutto		mj	11113		nw	
afternoon	nunto-né	afternoon	nunto-ne		mj	8173		b	Bruny Island
afternoon	nunto-né	afternoon	nunto-ne		mj	10119		s	Southern
afternoon	panubratoné	dusk	panubratone		mj	8174		b	Bruny Island
afternoon	panubratony	dusk	panubratone		mj	8175		b	Bruny Island
afternoon	borupare	tonight	panubratone		wn	8176		unk	unknown15
afternoon	par.nue.bra pran.ner	afternoon	panubratone		gar	8177		b	Bruny Island
afternoon	panubratoné	dusk	panubratone		mj	10120		s	Southern
afternoon	panubratony	dusk	panubratone		mj	10121		s	Southern
afternoon	tuwanua	evening	tuwanua		wn	8178		unk	unknown15
albatross	num.mer.ner.rown		num.mer.ner.rown	At least six species of albatrosses recorded from Tasmanian seas--only three group words. May be due to failure to identify this bird specifically among seabirds	gar	1587		mc	Mount Cameron, NW Tasmania
albatross	hum.mer.ner.rown		num.mer.ner.rown	The word group pookanah suggests such uncertainty (ref: cormorant)	gar	1588		cg	Cape Grim, NW Tasmania
albatross	tar.rim.me		tar.rim.me		gar	1589		b	Bruny Island
albatross	tar.rim		tar.rim.me		gar	1590		wc	Western Coast
albatross	tarremah		tar.rim.me		mj	1591		b	Bruny Island
albatross	tarrina		tar.rim.me		jj	1592		n	Northern tribes, but not always those to westward of the Tamar River
albatross	tamima		tar.rim.me		bm	1593		ch	Circular Head, NW Tasmania
albatross	tamuna		tar.rim.me		bmm	1594		ch	Circular Head, NW Tasmania
albatross	tarremah		tar.rim.me		mj	9417		s	Southern
alive	nõ.õin.ně		no.oin.ne		st	1		b	Bruny Island
amulet	num.re.mur.re.ker		num.re.mur.re.ker		gar	2		wc	Western Coast
amulet	num.re.mur.he.kea		num.re.mur.re.ker		gar	3		unk	unknown15
amulet	num.re.mur..he.ker		num.re.mur.re.ker		gar	4		wc	Western Coast
amulet	roy.deen.er		roy.deen.er		gar	5		b	Bruny Island
amulet	roy.de (abbreviation)		roy.deen.er		gar	6		b	Bruny Island
amulet	roydeener		roy.deen.er		gar	7		b	Bruny Island
amulet	roi.deen.ner (x)		roy.deen.er		gar	8		b	Bruny Island
amulet	roi.dee (x)		roy.deen.er		gar	9		b	Bruny Island
amulet	roideener		roy.deen.er		gar	10		b	Bruny Island
amulet	rhoydee		roy.deen.er		gar	11		unk	unknown15
amulet	roi.deen.ner (x)		roy.deen.er		gar	9257		s	Southern
amulet	roi.dee (x)		roy.deen.er		gar	9258		s	Southern
anger	dyekka namenera	growl	dyekka	Translated variously as "anger", "cranky", "cross", "demur", "disapprobation", "displease", "fury", "growl", "pettish", "rage", "scold", "sulky", and "sullen"--most diversity in MJ	mj	10357		w	western tribes
anger	dyekka nameenera	growl	dyekka	When eastern records examined--too many word groups for that region, seem to be two different meanings at least--possibly two different degrees of anger or difference depending on whether anger is given or received	mj	10358		w	western tribes
anger	dyekka namenera	growl	dyekka	Translated variously as "anger", "cranky", "cross", "demur", "disapprobation", "displease", "fury", "growl", "pettish", "rage", "scold", "sulky", and "sullen"--most diversity in MJ	mj	10816		nw	
anger	dyekka nameenera	growl	dyekka	When eastern records examined--too many word groups for that region, seem to be two different meanings at least--possibly two different degrees of anger or difference depending on whether anger is given or received	mj	10817		nw	
anger	keetrelbya	sullen	keetrelbya	Two degrees could be a) expression o dislike of persons or events, leading native to go apart from companions and give vent to feelings of displeasure by "growling" and b) rage and fury directed against individual	mj	1370		b	Bruny Island
anger	ke.ter.rel.er.per.noong.er	sulky	keetrelbya	If this distinction made for eastern peoples, a words might be keetrelbya, lowabereelonga, quanhe, and ratacrareny, and b might be lieneghi, neoongyack, and poyneh	cr	1371		bl	Ben Lomond
anger	ke.ter.rel.er.per.nung.er	sulky	keetrelbya	No evidence for or against words expersing difference between one's own anger directed against person/events and being recipient of another's anger, uch less likely than a quantitative difference such as between 'growling' and rage, but possibility	cr	1372		bl	Ben Lomond
anger	keetrelbya	sullen	keetrelbya	Two degrees could be a) expression o dislike of persons or events, leading native to go apart from companions and give vent to feelings of displeasure by "growling" and b) rage and fury directed against individual	mj	9382		s	Southern
anger	kenweika	scold	kenweika		jd	1373		s	Southern
anger	koananietya	fury	kenweika		mj	1374		oyb	Oyster Bay
anger	lieneghi miawero	displease	lieneghi		mj	1375		oyb	Oyster Bay
anger	leenangunnyé	fury	lieneghi		mj	1376		oyb	Oyster Bay
anger	leecoté	rage	lieneghi		mj	1377		b	Bruny Island
anger	leecoté	rage	lieneghi		mj	9383		s	Southern
anger	linkablari	angry	lieneghi		ws	11707	bt	e	Eastern
anger	lowabereelonga	pettish	lowabereelonga		mj	1378		oyb	Oyster Bay
anger	lowaperee longha	sullen	lowabereelonga		mj	1379		oyb	Oyster Bay
anger	lowattobeolo kakannené	sullen	lowabereelonga		mj	1380		oyb	Oyster Bay
anger	lowattobeolo kakanneté	sullen	lowabereelonga		mj	1381		oyb	Oyster Bay
anger	mũ.tẽe	disapprobation	mu.tee		st	1382		b	Bruny Island
anger	neenubru-latai	fury	neenubru		mj	10359		w	western tribes
anger	neenubrulatai	fury	neenubru		mj	10360		w	western tribes
anger	neenubru-latai	fury	neenubru		mj	10818		nw	
anger	neenubrulatai	fury	neenubru		mj	10819		nw	
anger	neoongyack	rage	neoongyack		mj	1385		oyb	Oyster Bay
anger	noo.de.cow.wer	sulky	noo.de.cow.wer		gar	1386		? wc	
anger	pane.tar.lo.te.uck	cranky	pane.tar.lo.te.uck		cr	1387		bl	Ben Lomond
anger	poyneh	pettish	poyneh		mj	1388		b	Bruny Island
anger	poininna	sullen	poyneh		mj	1389		b	Bruny Island
anger	pye.ne	sulky	poyneh		gar	1390		b	Bruny Island
anger	py.ny	no like	poyneh		gar	1391		b	Bruny Island
anger	poinawallé	displease	poyneh		mj	1392		b	Bruny Island
anger	poiné moonalané	anger	poyneh		mj	1393		b	Bruny Island
anger	poiré tungaba	cross	poyneh		mj	1394		b	Bruny Island
anger	liapooneranah	fury	poyneh		mj	1395		b	Bruny Island
anger	liapooneranh	fury	poyneh		mj	1396		b	Bruny Island
anger	oeilupoonia urapoonie	cross	poyneh		mj	1397		oyb	Oyster Bay
anger	kukunna poipuggeapa	displease	poyneh		mj	1398		oyb	Oyster Bay
anger	lee.peen.ne kar.te	no like him	poyneh		gar	1399	ju	cp	Cape Portland
anger	poyneh	pettish	poyneh		mj	9384		s	Southern
anger	poininna	sullen	poyneh		mj	9385		s	Southern
anger	poinawallé	displease	poyneh		mj	9386		s	Southern
anger	poiné moonalané	anger	poyneh		mj	9387		s	Southern
anger	poiré tungaba	cross	poyneh		mj	9388		s	Southern
anger	liapooneranah	fury	poyneh		mj	9389		s	Southern
anger	liapooneranh	fury	poyneh		mj	9390		s	Southern
anger	nannéaquanhe	growl	quanhe		mj	1400		oyb	Oyster Bay
anger	nunnaquannapeiere	growl	quanhe		mj	1401		b	Bruny Island
anger	kokoleeny konqua	demur, grumble	quanhe		mj	1402		oyb	Oyster Bay
anger	miengconnenechana	anger	quanhe		mj	1403		oyb	Oyster Bay
anger	monna perinna	sullen	quanhe		mj	1404		oyb	Oyster Bay
anger	nunnaquannapeiere	growl	quanhe		mj	9391		s	Southern
anger	ratacrareny	sulky	ratacrareny		bm	1405		e	Eastern
anger	ratairareny	sulky	ratacrareny		jj	1406		e	Eastern
anger	tarl.tri.ner	cranky	tarl.tri.ner		cr	1407		ps	Port Sorell, northern
anger	tur.runt.yer	cranky	tur.runt.yer		gar	1408		oyb	Oyster Bay
anger	yoke.er.nur.rer	sulky	yoke.er.nur.rer		cr	1409		ps	Port Sorell, northern
ankle	lure		lure	may be either luer.ran.ner (leg) or ler.ner (foot)	cr	387		se	Southeastern
ankle	mar.ner.ar.ner		mar.ner.ar.ner		mj	388	lr	br	Big River
ankle	munnaghana		mar.ner.ar.ner		mj	389		oyb	Oyster Bay
ankle	munna-wana		mar.ner.ar.ner		mj	390		b	Bruny Island
ankle	munnawana		mar.ner.ar.ner		mj	391		b	Bruny Island
ankle	munna-wana		mar.ner.ar.ner		mj	9294		s	Southern
ankle	munnawana		mar.ner.ar.ner		mj	9295		s	Southern
anoint with grease and red ochre (to)	mungannemoee	rub in fat	mungannemoee		mj	5983		oyb	Oyster Bay
anoint with grease and red ochre (to)	nẽwmӗrtẽwghӗnǎr	rub in fat	newmertewghenar		sn	5984		unk	unknown15
anoint with grease and red ochre (to)	par.nin.ner.re	grease	par.nin.ner.re		gar	5985		b	Bruny Island
anoint with grease and red ochre (to)	nun.ner.re	painting themselves	par.nin.ner.re		gar	5986		b	Bruny Island
anoint with grease and red ochre (to)	poeena	ringlets, corkscrews with red ochre	poeena	seems to belong to pe.gen.ner group (hair)	mj	5987		b	Bruny Island
anoint with grease and red ochre (to)	poina	hair matted with red ochre	poeena		mj	5988		b	Bruny Island
anoint with grease and red ochre (to)	poinghana	hair matted with red ochre	poeena		mj	5990		oyb	Oyster Bay
anoint with grease and red ochre (to)	poieté longwinne	hair	poeena		mj	5991		b	Bruny Island
anoint with grease and red ochre (to)	lane poeré	grease the hair	poeena		dle	5992		se	Southeastern
anoint with grease and red ochre (to)	lané poeré	graisser les cheveux	poeena		dlf	5993		se	Southeastern
anoint with grease and red ochre (to)	lana poerari	grease the hair	poeena		dle	5994		se	Southeastern
anoint with grease and red ochre (to)	laré pouẽré	enduire les cheveaux dúne espece de mailla rouge	poeena		drm	5995		se	Southeastern
anoint with grease and red ochre (to)	tane poere	grease the hair	poeena		pl	5996		se	Southeastern
anoint with grease and red ochre (to)	pow.ing.arooteleebana	ringlets, corkscrews with red ochre	poeena		mj	5997		oyb	Oyster Bay
anoint with grease and red ochre (to)	poeena	ringlets, corkscrews with red ochre	poeena	seems to belong to pe.gen.ner group (hair)	mj	9881		s	Southern
anoint with grease and red ochre (to)	poina	hair matted with red ochre	poeena		mj	9882		s	Southern
anoint with grease and red ochre (to)	poieté longwinne	hair	poeena		mj	9883		s	Southern
anoint with grease and red ochre (to)	poenghana	ringlets, corkscrews with red ochre	poeena		mj	10552		w	western tribes
anoint with grease and red ochre (to)	poenghana	ringlets, corkscrews with red ochre	poeena		mj	11011		nw	
anoint with grease and red ochre (to)	pole.ler.win	red ochre the hair	pole.ler.win		gar	5998		unk	unknown15
anoint with grease and red ochre (to)	pole.le.win	paint the face and body with grease and red ochre	pole.ler.win		gar	5999		e	Eastern
anoint with grease and red ochre (to)	pole.win	red ochre the hair	pole.ler.win		gar	6000		unk	unknown15
anoint with grease and red ochre (to)	pye.rer.ter	red ochre the hair	pye.rer.ter		gar	6001		b	Bruny Island
anoint with grease and red ochre (to)	pye.rer.ter	paint the face and body with grease and red ochre	pye.rer.ter		gar	6002		b	Bruny Island
anoint with grease and red ochre (to)	pye.ner.ter	red ochre the hair	pye.rer.ter		gar	6003		b	Bruny Island
anoint with grease and red ochre (to)	ruggara	anoint	ruggara		mj	6004		b	Bruny Island
anoint with grease and red ochre (to)	ruggarra	rub in fat	ruggara		mj	6005		b	Bruny Island
anoint with grease and red ochre (to)	ruggara	anoint	ruggara		mj	9884		s	Southern
anoint with grease and red ochre (to)	ruggarra	rub in fat	ruggara		mj	9885		s	Southern
anoint with grease and red ochre (to)	yennemee	anoint	yennemee		mj	6006		oyb	Oyster Bay
another	neggana	another	neggana		mj	1410		b	Bruny Island
another	nee.gee	another	neggana		gar	1411		b	Bruny Island
another	naba	other	neggana		jj	1412		s	Southern
another	neggana	another	neggana		mj	9392		s	Southern
another	tabboucack	another	tabboucack		mj	1413		oyb	Oyster Bay
answer (to)	came.er.mung.er	tell me	came.er.mung.er		cr	1414		wc	Western Coast
answer (to)	me.mer.rer	did you tell him?	me.mer.rer		cr	1415	lr	br	Big River
answer (to)	oanganah	inform	oanganah	see "speak"	mj	1416		b	Bruny Island
answer (to)	ongana meena	tell me	oanganah		mj	1417		b	Bruny Island
answer (to)	oana	inform	oanganah		mj	1418		oyb	Oyster Bay
answer (to)	oana mia	tell me	oanganah		mj	1419		oyb	Oyster Bay
answer (to)	oghnamileé	ask	oanganah		mj	1420		b	Bruny Island
answer (to)	oghnemipé	answer	oanganah		mj	1421		b	Bruny Island
answer (to)	oghnerapé	answer	oanganah		mj	1422		b	Bruny Island
answer (to)	o.yer.ni.pare	tell me	oanganah		cr	1423		bl	Ben Lomond
answer (to)	ouneeprapé	answer	oanganah		mj	1424		oyb	Oyster Bay
answer (to)	ong.bor.ook	I have told him	oanganah		cr	1426		br	Big River
answer (to)	ong.bo.rook	I have told him	oanganah		cr	1427	lr	br	Big River
answer (to)	ongheewammena	ask	oanganah		mj	1428		oyb	Oyster Bay
answer (to)	ongheewammeno	ask	oanganah		mj	1429		oyb	Oyster Bay
answer (to)	oanganah	inform	oanganah	see "speak"	mj	9393		s	Southern
answer (to)	ongana meena	tell me	oanganah		mj	9394		s	Southern
answer (to)	oghnamileé	ask	oanganah		mj	9395		s	Southern
answer (to)	oghnemipé	answer	oanganah		mj	9396		s	Southern
answer (to)	oghnerapé	answer	oanganah		mj	9397		s	Southern
answer (to)	onabeamabbelé	ask	oanganah		mj	10361		w	western tribes
answer (to)	onabeamabbelé	ask	oanganah		mj	10820		nw	
ant	lal.ler	ant	lal.ler		gar	4323		b	Bruny Island
ant	lal.ler	small pissant	lal.ler		gar	4324		b	Bruny Island
ant	lalla	ant, red body, black head tail	lal.ler		mj	4325		b	Bruny Island
ant	lallah	emmet, small	lal.ler		mj	4326		b	Bruny Island
ant	lalla	ant, red body, black head tail	lal.ler		mj	9722		s	Southern
ant	lallah	emmet, small	lal.ler		mj	9723		s	Southern
ant	lan.nen.ner	small ant	lan.nen.ner		gar	4327	lj	unk	unknown15
ant	lar.ny.lare	horse emmet	lan.nen.ner		gar	4328	jn	n	Northern tribes, but not always those to westward of the Tamar River
ant	lorth.er.ner	small pissant	lorth.er.ner		gar	4329		unk	unknown15
ant	loattera	ant, red body, black head tail	lorth.er.ner		mj	4330		b	Bruny Island
ant	loattera	ant, red body, black head tail	lorth.er.ner		mj	9724		s	Southern
ant	moyberry	ant, small, black, strong smell	moyberry		mj	4331		b	Bruny Island
ant	moyberry	ant, small, black, strong smell	moyberry		mj	9725		s	Southern
ant	tar.toy.gar	small ant	tar.toy.gar		gar	4332		cg	Cape Grim, NW Tasmania
ant	tietta	ant, large, black, venomous	tietta	seems to have had a prefix when particularly species were recognised, not clear if such modification was always practised (or whether different tribes could recognise differences between species of ants)	mj	4333		oyb	Oyster Bay
ant	tité	ant, large, black, venomous	tietta		mj	4334		b	Bruny Island
ant	ty.de	big pissant	tietta		gar	4335		unk	unknown15
ant	pugganeiptietta	large blue ant	tietta		mj	4336		oyb	Oyster Bay
ant	nowateita	ant, red body, black head	tietta		mj	4337		oyb	Oyster Bay
ant	ouyeteita	emmet, small	tietta		mj	4338		oyb	Oyster Bay
ant	ouiteitana	ant, small, black, strong smell	tietta		mj	4339		oyb	Oyster Bay
ant	tay.nun.nen.ner	large ant	tietta		gar	4340	? mn	unk	unknown15
ant	tȳǎněrmĩnněr	large pissant	tietta		sn	4341		unk	unknown15
ant	tité	ant, large, black, venomous	tietta		mj	9726		s	Southern
ant	wãyěnẽnněr	large pissant	wayenenner		sn	4342		unk	unknown15
ant	way.ner	large ant	wayenenner		gar	4343		e	Eastern
arm	alree		alree		jj	37		w	western tribes
arm	abri		alree		lh	38		w	western tribes
arm	dray.wid.de.ker		dray.wid.de.ker	Can correspond with word for hand (drar.bur.ic)	gar	10270		cg	Cape Grim, NW Tasmania
arm	dray.wid.de.ker		dray.wid.de.ker	Can correspond with word for hand (drar.bur.ic)	gar	10729		ri	Robbins Island, NW
arm	dray.wur.rid.ic		dray.wur.rid.ic	Can correspond with word for hand (drar.bur.ic)	gar	40		? wc	
arm	dray.wur.id.ic		dray.wur.rid.ic	Can correspond with word for hand (drar.bur.ic)	gar	41		unk	unknown15
arm	yĩr'.rǎ.wig		dray.wur.rid.ic		cu	42		mh	Macquarie Harbour, western
arm	yir'.a.wig		dray.wur.rid.ic		cum	43		mh	Macquarie Harbour, western
arm	rar.bur.ick		dray.wur.rid.ic		cr	44		wc	Western Coast
arm	gan.ne.min.er		gan.ne.min.er	Can correspond with word for hand (han.ner.min.ner)	st	45		e	Eastern
arm	nanimpena		gan.ne.min.er		sc	46		oyb	Oyster Bay
arm	anme	avant-bras	gan.ne.min.er		gm	47		dl	Port Dalrymple, Tamar River
arm	houana	les bras	houana		dr	48		se	Southeastern
arm	gouna	les bras	houana		dr	49		se	Southeastern
arm	gonau	bras	houana		drm	50		se	Southeastern
arm	gonan	bras	houana		drm	51		se	Southeastern
arm	gouan		houana		drm	52		se	Southeastern
arm	gouana		houana		drm	53		se	Southeastern
arm	goman		houana		drm	54		se	Southeastern
arm	gouna lia		houana		dle/f	55		se	Southeastern
arm	guna-lia		houana		pl	56		se	Southeastern
arm	wan1na1		houana		br	57		se	Southeastern
arm	wa1na1	hand	houana		br	58		se	Southeastern
arm	wu'hnna		houana		mj	59		b	Bruny Island
arm	wu'hnna		houana		mj	60		oyb	Oyster Bay
arm	regoula	bras	houana		gm	61		dl	Port Dalrymple, Tamar River
arm	wu'hnna		houana		mj	9262		s	Southern
arm	mee.gen.ner		mee.gen.ner		gar	62		pr	Piper River, NE
arm	mee.gen.ner		mee.gen.ner		gar	63		cp	Cape Portland
arm	mee.en.ner		mee.gen.ner		gar	64		n (? = ne)	
arm	mer.neng.er		mer.neng.er		cr	65		bl	Ben Lomond
arm	me.neng.er		mer.neng.er		cr	66		bl	Ben Lomond
arm	wee.ter	upper arm	wee.ter		gar	67	lr	unk	unknown15
arm	wern.ner		wern.ner		cr	68	lr	unk	unknown15
arm	wern.ner	forearm	wern.ner		cr	69		br	Big River
arm	we.nen.ner	below elbow	wern.ner		cr	70		br	Big River
arm	wornena		wern.ner		rb	71		b	Bruny Island
arm	wure.ner		wern.ner		st	73		b	Bruny Island
arm	wur.ne.ner	upper arm	wern.ner		gar	10271		pr	Piper River, NE
arm	wur.ne.ner	upper arm	wern.ner		gar	10730		cp	Cape Portland
armpit	car.tee.bu.ren.ner		car.tee.bu.ren.ner	Does not correspond with any of the words for arm	cr	29		br	Big River
armpit	car.te.bu.ren.ner		car.tee.bu.ren.ner	Does not correspond with any of the words for arm	cr	30		br	Big River
armpit	car.ter.bu.ren.ner		car.tee.bu.ren.ner	Does not correspond with any of the words for arm	cr	31	lr	br	Big River
armpit	car.bu.ren.ner		car.tee.bu.ren.ner	Does not correspond with any of the words for arm	cr	32		br	Big River
armpit	kawallah		kawallah	May be same word as kawdah	mj	10269		k	
armpit	kawallah		kawallah	May be same word as kawdah	mj	10728		nw	
armpit	kawdah		kawdah	May be same word as kawallah	mj	33		b	Bruny Island
armpit	kawdah		kawdah	May be same word as kawallah	mj	9261		s	Southern
armpit	luranah		luranah		mj	35		oyb	Oyster Bay
armpit	wer.ra.ner		wer.ra.ner	May belong to wer.ner (arm) group	cr	36		bl	Ben Lomond
articles	noona meena	goods	noona	too few words for analysis, noona (goods) may be related to nunne (take), associated with possessive meena. If so, noona-moy likely a corruption of noona meena	mj	1430		oyb	Oyster Bay
articles	noonamoy	goods	noona		mj	10362		w	western tribes
articles	noonamoy	goods	noona		mj	10821		nw	
articles	ooraimabilé	goods	ooraimabile	Combination of oorai (meaning not determined) and mabbyle (plenty)	mj	1432		b	Bruny Island
articles	ooraimabilé	goods	ooraimabile	Combination of oorai (meaning not determined) and mabbyle (plenty)	mj	9398		s	Southern
ashamed	care.rong.er	shame	care.rong.er		gar	1433		? wc	
ashamed	lare.rong.er	shame	care.rong.er		gar	1434		wc	Western Coast
ashamed	ka.rang.er	shame	care.rong.er		cr	1435		wc	Western Coast
ashamed	koka	ruddy cheeks	care.rong.er		mj	1436		b	Bruny Island
ashamed	koka	ruddy cheeks	care.rong.er		mj	9399		s	Southern
ashamed	leen.ne.de	shame	leen.ne.de		gar	1437		b	Bruny Island
ashamed	lienuté	ashamed	leen.ne.de		mj	1438		b	Bruny Island
ashamed	lienuté	ashamed	leen.ne.de		mj	9400		s	Southern
ashamed	mar.rote.te.yer	shame	mar.rote.te.yer		gar	1439		ty	Tyreelore, dialect spoken by sealer’s women
ashamed	mientendyack	ruddy cheeks	mientendyack		mj	1440		oyb	Oyster Bay
ashamed	miypooeetanyack	ruddy cheeks	mientendyack		mj	1441		oyb	Oyster Bay
ashamed	miypooetanyack	ruddy cheeks	mientendyack		mj	1442		oyb	Oyster Bay
ashamed	leiemtonnyack	ashamed	mientendyack		mj	1443		oyb	Oyster Bay
ashamed	wadebeweanna	blush	wadebeweanna		jj	1444		e	Eastern
ashamed	wadeheweana	blush	wadebeweanna		bm	1445		e	Eastern
ashamed	wadebeweana	blush	wadebeweanna		bmm	1446		e	Eastern
ashamed	vadaburena	ashamed	wadebeweanna		lh	1447		unk	unknown15
ashes	roughtuly né	ashes	roughtuly		mj	10436		w	western tribes
ashes	ronghtuly né	ashes	roughtuly		mj	10437		w	western tribes
ashes	roughtuly né	ashes	roughtuly		mj	10895		nw	
ashes	ronghtuly né	ashes	roughtuly		mj	10896		nw	
ashes	tontaiyenna	ashes	taiyenna		mj	3522		oyb	Oyster Bay
ashes	wẽentǐẽnnǎr	wood ashes	taiyenna	likely a derivative of we.ner (wood)	mj	3523		unk	unknown15
ashes	pãrtrõltǐẽnnǎr	wood ashes	taiyenna		sn	3524		unk	unknown15
